<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<TICKER>
2023-08-02T00:00:00.000000000,29705.99,30047.5,28927.5,29186.01,48181.65141,BTC/USDT
2023-08-03T00:00:00.000000000,29186.0,29433.33,28968.0,29193.64,26476.91994,BTC/USDT
2023-08-04T00:00:00.000000000,29193.65,29333.08,28807.54,29113.99,23551.95217,BTC/USDT
2023-08-05T00:00:00.000000000,29114.0,29152.23,28978.64,29072.13,11645.52018,BTC/USDT
2023-08-06T00:00:00.000000000,29072.13,29205.09,28991.88,29088.42,13178.1972,BTC/USDT
2023-08-07T00:00:00.000000000,29088.43,29276.78,28701.03,29211.06,30966.87746,BTC/USDT
2023-08-08T00:00:00.000000000,29211.06,30244.0,29146.45,29770.42,45700.53392,BTC/USDT
2023-08-09T00:00:00.000000000,29770.41,30160.0,29376.67,29581.99,38003.88725,BTC/USDT
2023-08-10T00:00:00.000000000,29581.99,29738.0,29320.2,29455.75,23463.45373,BTC/USDT
2023-08-11T00:00:00.000000000,29455.76,29564.52,29252.45,29426.03,20637.0443,BTC/USDT
2023-08-12T00:00:00.000000000,29426.02,29481.35,29381.56,29430.17,8971.48068,BTC/USDT
2023-08-13T00:00:00.000000000,29430.18,29474.65,29272.32,29303.84,11101.70947,BTC/USDT
2023-08-14T00:00:00.000000000,29303.85,29695.32,29102.45,29430.93,31443.11532,BTC/USDT
2023-08-15T00:00:00.000000000,29430.92,29499.26,29059.6,29200.0,27503.87691,BTC/USDT
2023-08-16T00:00:00.000000000,29200.01,29259.85,28723.08,28730.51,32996.69854,BTC/USDT
2023-08-17T00:00:00.000000000,28730.51,28783.48,25166.0,26623.41,100271.54033,BTC/USDT
2023-08-18T00:00:00.000000000,26623.41,26832.6,25619.0,26054.0,69790.65711,BTC/USDT
2023-08-19T00:00:00.000000000,26054.0,26281.0,25801.09,26100.01,26160.75343,BTC/USDT
2023-08-20T00:00:00.000000000,26100.01,26299.0,25971.05,26189.99,19056.91209,BTC/USDT
2023-08-21T00:00:00.000000000,26190.0,26258.42,25812.0,26126.92,30267.24233,BTC/USDT
2023-08-22T00:00:00.000000000,26126.92,26139.42,25300.0,26056.0,34247.06688,BTC/USDT
2023-08-23T00:00:00.000000000,26055.99,26819.27,25812.82,26432.72,44023.69978,BTC/USDT
2023-08-24T00:00:00.000000000,26432.71,26577.87,25864.0,26180.05,30205.22116,BTC/USDT
2023-08-25T00:00:00.000000000,26180.05,26314.05,25777.15,26060.01,27753.33772,BTC/USDT
2023-08-26T00:00:00.000000000,26060.0,26125.77,25985.92,26017.37,10022.22322,BTC/USDT
2023-08-27T00:00:00.000000000,26017.38,26182.23,25966.11,26101.77,12099.64216,BTC/USDT
2023-08-28T00:00:00.000000000,26101.78,26253.99,25864.5,26120.0,22692.62655,BTC/USDT
2023-08-29T00:00:00.000000000,26120.0,28142.85,25922.0,27716.34,74251.99488,BTC/USDT
2023-08-30T00:00:00.000000000,27716.34,27768.57,27017.24,27299.99,35448.25848,BTC/USDT
2023-08-31T00:00:00.000000000,27299.99,27587.51,25655.01,25940.78,51032.80401,BTC/USDT
2023-09-01T00:00:00.000000000,25940.77,26156.0,25333.75,25805.05,41032.15056,BTC/USDT
2023-09-02T00:00:00.000000000,25805.04,25987.5,25752.47,25869.51,16250.77698,BTC/USDT
2023-09-03T00:00:00.000000000,25869.52,26135.0,25800.0,25971.21,17474.47667,BTC/USDT
2023-09-04T00:00:00.000000000,25971.21,26108.02,25631.21,25826.02,21777.59609,BTC/USDT
2023-09-05T00:00:00.000000000,25826.03,25915.49,25562.62,25792.1,21323.39337,BTC/USDT
2023-09-06T00:00:00.000000000,25792.11,26040.0,25372.51,25759.95,27262.52386,BTC/USDT
2023-09-07T00:00:00.000000000,25759.95,26443.14,25615.38,26255.0,27687.49567,BTC/USDT
2023-09-08T00:00:00.000000000,26255.0,26445.5,25647.26,25910.5,28999.76471,BTC/USDT
2023-09-09T00:00:00.000000000,25910.5,25945.09,25796.64,25901.61,10980.62277,BTC/USDT
2023-09-10T00:00:00.000000000,25901.6,26033.66,25570.57,25841.61,18738.26914,BTC/USDT
2023-09-11T00:00:00.000000000,25841.6,25900.69,24901.0,25162.52,41682.32,BTC/USDT
2023-09-12T00:00:00.000000000,25162.53,26567.0,25131.48,25840.1,56434.38537,BTC/USDT
2023-09-13T00:00:00.000000000,25840.1,26405.22,25764.17,26222.0,31610.82753,BTC/USDT
2023-09-14T00:00:00.000000000,26222.0,26860.49,26126.77,26522.73,38333.1725,BTC/USDT
2023-09-15T00:00:00.000000000,26522.73,26888.0,26224.0,26600.0,26227.29369,BTC/USDT
2023-09-16T00:00:00.000000000,26599.99,26777.0,26445.0,26559.67,13960.93351,BTC/USDT
2023-09-17T00:00:00.000000000,26559.67,26623.25,26399.0,26527.51,12998.10277,BTC/USDT
2023-09-18T00:00:00.000000000,26527.5,27409.0,26377.35,26762.51,43000.43256,BTC/USDT
2023-09-19T00:00:00.000000000,26762.5,27483.57,26667.79,27210.26,36190.52187,BTC/USDT
2023-09-20T00:00:00.000000000,27210.25,27388.63,26800.0,27125.0,34207.21867,BTC/USDT
2023-09-21T00:00:00.000000000,27125.01,27159.6,26377.7,26568.08,34476.82662,BTC/USDT
2023-09-22T00:00:00.000000000,26568.08,26743.38,26468.77,26580.14,18198.2292,BTC/USDT
2023-09-23T00:00:00.000000000,26580.14,26632.81,26509.0,26575.96,9440.7026,BTC/USDT
2023-09-24T00:00:00.000000000,26575.97,26738.54,26122.08,26248.38,15706.65771,BTC/USDT
2023-09-25T00:00:00.000000000,26248.39,26446.15,25990.46,26304.81,26266.2039,BTC/USDT
2023-09-26T00:00:00.000000000,26304.8,26397.46,26088.34,26221.67,18495.35066,BTC/USDT
2023-09-27T00:00:00.000000000,26221.68,26850.0,26112.06,26372.99,34771.57978,BTC/USDT
2023-09-28T00:00:00.000000000,26373.0,27308.48,26342.4,27021.39,44517.83491,BTC/USDT
2023-09-29T00:00:00.000000000,27021.39,27244.89,26665.16,26906.96,28478.76219,BTC/USDT
2023-09-30T00:00:00.000000000,26906.96,27094.99,26886.31,26962.56,12804.62307,BTC/USDT
2023-10-01T00:00:00.000000000,26962.57,28065.51,26954.09,27992.57,24602.81468,BTC/USDT
2023-10-02T00:00:00.000000000,27992.58,28580.0,27281.44,27494.51,57071.14241,BTC/USDT
2023-10-03T00:00:00.000000000,27494.51,27676.52,27160.5,27426.46,28928.96555,BTC/USDT
2023-10-04T00:00:00.000000000,27426.45,27839.72,27202.0,27778.57,29816.142,BTC/USDT
2023-10-05T00:00:00.000000000,27778.57,28120.39,27352.0,27410.39,30681.49619,BTC/USDT
2023-10-06T00:00:00.000000000,27410.39,28295.0,27175.94,27931.09,37983.24277,BTC/USDT
2023-10-07T00:00:00.000000000,27931.1,28029.67,27842.08,27956.67,13348.83825,BTC/USDT
2023-10-08T00:00:00.000000000,27956.67,28095.14,27687.5,27917.05,19693.56921,BTC/USDT
2023-10-09T00:00:00.000000000,27917.06,27987.93,27260.0,27590.12,31534.74639,BTC/USDT
2023-10-10T00:00:00.000000000,27590.12,27735.0,27298.0,27390.12,22776.84383,BTC/USDT
2023-10-11T00:00:00.000000000,27390.12,27477.39,26538.66,26875.52,37349.44706,BTC/USDT
2023-10-12T00:00:00.000000000,26875.52,26947.04,26555.0,26759.63,23428.64112,BTC/USDT
2023-10-13T00:00:00.000000000,26759.63,27130.0,26685.0,26862.0,24115.76499,BTC/USDT
2023-10-14T00:00:00.000000000,26862.0,26989.58,26789.0,26852.48,10417.25576,BTC/USDT
2023-10-15T00:00:00.000000000,26852.48,27293.33,26808.25,27154.15,15274.6917,BTC/USDT
2023-10-16T00:00:00.000000000,27154.14,30000.0,27112.66,28500.78,78399.22445,BTC/USDT
2023-10-17T00:00:00.000000000,28500.77,28613.65,28069.32,28395.91,38428.44532,BTC/USDT
2023-10-18T00:00:00.000000000,28395.91,28982.36,28142.87,28320.0,32162.47591,BTC/USDT
